,week,state,state_name,disease,cases,incidence_per_capita
428,192810,MD,MARYLAND,SMALLPOX,4,0.25
429,192810,ME,MAINE,SMALLPOX,0,0.0
430,192810,MI,MICHIGAN,SMALLPOX,37,0.79
431,192810,MN,MINNESOTA,SMALLPOX,1,0.04
432,192810,MO,MISSOURI,SMALLPOX,53,1.47
433,192810,MS,MISSISSIPPI,SMALLPOX,4,0.2
434,192810,NC,NORTH CAROLINA,SMALLPOX,93,3.02
435,192810,ND,NORTH DAKOTA,SMALLPOX,0,0.0
436,192810,NE,NEBRASKA,SMALLPOX,51,3.72
437,192810,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0
438,192810,NJ,NEW JERSEY,SMALLPOX,0,0.0
439,192810,NM,NEW MEXICO,SMALLPOX,2,0.48
440,192810,NY,NEW YORK,SMALLPOX,13,0.11
441,192810,OH,OHIO,SMALLPOX,24,0.36
442,192810,OK,OKLAHOMA,SMALLPOX,181,7.72
443,192810,OR,OREGON,SMALLPOX,64,6.84
444,192810,PA,PENNSYLVANIA,SMALLPOX,0,0.0
445,192810,RI,RHODE ISLAND,SMALLPOX,0,0.0
446,192810,SC,SOUTH CAROLINA,SMALLPOX,14,0.81
447,192810,SD,SOUTH DAKOTA,SMALLPOX,10,1.46
448,192810,TN,TENNESSEE,SMALLPOX,26,0.99
449,192810,TX,TEXAS,SMALLPOX,65,1.15
450,192810,UT,UTAH,SMALLPOX,13,2.58
451,192810,VT,VERMONT,SMALLPOX,0,0.0
452,192810,WA,WASHINGTON,SMALLPOX,79,5.09
453,192810,WI,WISCONSIN,SMALLPOX,42,1.44
454,192810,WV,WEST VIRGINIA,SMALLPOX,76,4.48
455,192810,WY,WYOMING,SMALLPOX,15,6.82
456,192811,AL,ALABAMA,SMALLPOX,9,0.34
457,192811,AR,ARKANSAS,SMALLPOX,2,0.11
458,192811,AZ,ARIZONA,SMALLPOX,19,4.5
459,192811,CA,CALIFORNIA,SMALLPOX,26,0.49
